# cycles.log — حواف أسقطها Kahn لتكوينها دورات
# السطر: حافة | القاعدة/الثقة | سلسلتا الطرفين | سبب الإسقاط
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|001.02 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|001.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|001.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|001.13 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|001.16 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|002.13 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|003.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|003.14 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|005.02 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|005.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|005.08 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|006.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|006.07 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|006.13 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|006.14 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|007.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|011.13 → 999_شرح_السلم|007.08 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.05 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.09 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.10 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.14 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.15 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.17 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|001.18 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.05 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.06 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.07 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.08 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.09 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.10 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.11 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|002.12 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.03 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.04 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
993_حواشي_اليوسي|012.16 → 999_شرح_السلم|003.07 | rule=tag_chain conf=0.7 | 993_حواشي_اليوسي ← 999_شرح_السلم | تكوّن دورة (تعطّل الترتيب الطوبولوجي)
